ncr,n,trainortest,acc,loss,prec,recall,f1
3,0,"train",1.0,3.5925000929637463e-07,1.0,1.0,1.0
3,0,"test",0.46875,4.702659606933594,0.44391027092933655,0.5285714268684387,0.48106884956359863
3,1,"train",1.0,5.430419332697056e-05,1.0,1.0,1.0
3,1,"test",0.46875,3.8375725746154785,0.4707792401313782,0.5357142686843872,0.49525776505470276
3,2,"train",0.986328125,0.05147569999098778,0.9731398820877075,1.0,0.9856542944908142
3,2,"test",0.703125,2.820678472518921,0.6522727012634277,0.893750011920929,0.7512040138244629
3,3,"train",0.51171875,8.583137512207031,0.15625,0.022803151980042458,0.03908730298280716
3,3,"test",0.5,14.734065055847168,0.0,0.0,0.0
3,4,"train",1.0,3.918504489774932e-07,1.0,1.0,1.0
3,4,"test",1.0,0.00029396291938610375,1.0,1.0,1.0
3,5,"train",1.0,2.5611321063934156e-08,1.0,1.0,1.0
3,5,"test",1.0,3.539024717724715e-08,1.0,1.0,1.0
6,0,"train",1.0,4.2099214624613523e-05,1.0,1.0,1.0
6,0,"test",0.53125,2.9038848876953125,0.5222222208976746,0.6214286088943481,0.5647059082984924
6,1,"train",0.986328125,0.03654155135154724,1.0,0.9702494144439697,0.983853816986084
6,1,"test",0.6875,3.0058035850524902,1.0,0.37410715222358704,0.5201923251152039
6,2,"train",1.0,1.2679221299549681e-06,1.0,1.0,1.0
6,2,"test",0.984375,0.09811549633741379,0.96875,1.0,0.9833333492279053
6,3,"train",1.0,8.381900507004048e-09,1.0,1.0,1.0
6,3,"test",1.0,5.587935003603661e-09,1.0,1.0,1.0
6,4,"train",1.0,6.984918754504577e-10,1.0,1.0,1.0
6,4,"test",1.0,0.0,1.0,1.0,1.0
6,5,"train",1.0,0.0,1.0,1.0,1.0
6,5,"test",1.0,0.0,1.0,1.0,1.0
9,0,"train",1.0,4.295705196000199e-07,1.0,1.0,1.0
9,0,"test",0.546875,4.083420276641846,0.5491071343421936,0.6383928656578064,0.5785296559333801
9,1,"train",1.0,2.6077010772951326e-08,1.0,1.0,1.0
9,1,"test",1.0,0.0005742133362218738,1.0,1.0,1.0
9,2,"train",1.0,8.870731704746504e-08,1.0,1.0,1.0
9,2,"test",1.0,3.1664953326071554e-08,1.0,1.0,1.0
9,3,"train",1.0,4.889441296285213e-09,1.0,1.0,1.0
9,3,"test",1.0,1.8626450382086546e-09,1.0,1.0,1.0
9,4,"train",1.0,0.0,1.0,1.0,1.0
9,4,"test",1.0,0.0,1.0,1.0,1.0
9,5,"train",1.0,0.0,1.0,1.0,1.0
9,5,"test",1.0,0.0,1.0,1.0,1.0
12,0,"train",1.0,0.00023641267034690827,1.0,1.0,1.0
12,0,"test",0.53125,2.754662275314331,0.529365062713623,0.6151785850524902,0.5615131855010986
12,1,"train",1.0,0.0,1.0,1.0,1.0
12,1,"test",1.0,0.0,1.0,1.0,1.0
12,2,"train",1.0,0.0,1.0,1.0,1.0
12,2,"test",1.0,0.0,1.0,1.0,1.0
12,3,"train",1.0,0.0,1.0,1.0,1.0
12,3,"test",1.0,0.0,1.0,1.0,1.0
12,4,"train",1.0,0.0,1.0,1.0,1.0
12,4,"test",1.0,0.0,1.0,1.0,1.0
12,5,"train",1.0,0.0,1.0,1.0,1.0
12,5,"test",1.0,0.0,1.0,1.0,1.0
