cr,n,trainortest,accuracy,loss,precision,recall,f1
3,0,"train",0.5,0.7537240386009216,0.0,0.0,0.0
3,0,"test",0.5,0.7546901106834412,0.5,0.5,0.5
3,1,"train",0.5,0.7457411885261536,0.0,0.0,0.0
3,1,"test",0.5,0.7439150214195251,0.5,0.5,0.5
3,2,"train",0.5,0.7495092153549194,0.0,0.0,0.0
3,2,"test",0.5,0.7535600066184998,0.5,0.5,0.5
3,3,"train",0.5,0.7494735717773438,0.0,0.0,0.0
3,3,"test",0.5,0.7457770109176636,0.5,0.5,0.5
3,4,"train",0.5,0.6955956220626831,0.0,0.0,0.0
3,4,"test",0.5,0.6788259744644165,0.5,0.5,0.5
3,5,"train",0.48046875,0.6048070788383484,0.40312498807907104,0.1138753667473793,0.16751720011234283
3,5,"test",0.484375,0.5923588871955872,0.5,0.046875,0.08496732264757156
6,0,"train",0.5,0.7619787454605103,0.0,0.0,0.0
6,0,"test",0.5,0.7600117921829224,0.5,0.5,0.5
6,1,"train",0.5,0.7471277117729187,0.0,0.0,0.0
6,1,"test",0.5,0.7480795383453369,0.5,0.5,0.5
6,2,"train",0.52734375,0.5996211171150208,0.375,0.05506177619099617,0.09485480189323425
6,2,"test",0.484375,0.6148802638053894,0.25,0.25,0.25
6,3,"train",0.83203125,0.5178777575492859,0.8825644850730896,0.688282310962677,0.7669693827629089
6,3,"test",0.765625,0.560160756111145,0.5,0.359375,0.4179894030094147
6,4,"train",0.859375,0.4043595492839813,0.7735321521759033,1.0,0.8604841232299805
6,4,"test",0.828125,0.40556633472442627,0.5,0.5,0.5
6,5,"train",0.98046875,0.2341296523809433,1.0,0.9561012387275696,0.9763695597648621
6,5,"test",0.953125,0.23999634385108948,1.0,0.953125,0.9752687811851501
9,0,"train",0.5,0.7470714449882507,0.0,0.0,0.0
9,0,"test",0.5,0.7539264559745789,0.5,0.5,0.5
9,1,"train",0.9609375,0.4830353558063507,1.0,0.9033190011978149,0.9437917470932007
9,1,"test",0.875,0.49126893281936646,1.0,0.875,0.9285714626312256
9,2,"train",1.0,0.1449974626302719,1.0,1.0,1.0
9,2,"test",1.0,0.1576080024242401,1.0,1.0,1.0
9,3,"train",1.0,0.03812084347009659,1.0,1.0,1.0
9,3,"test",1.0,0.04284423217177391,1.0,1.0,1.0
9,4,"train",1.0,0.0018569641979411244,1.0,1.0,1.0
9,4,"test",1.0,0.0029385185334831476,1.0,1.0,1.0
9,5,"train",1.0,0.0010344585170969367,1.0,1.0,1.0
9,5,"test",1.0,0.0008243866031989455,1.0,1.0,1.0
12,0,"train",0.5,0.7427065372467041,0.0,0.0,0.0
12,0,"test",0.5,0.74281907081604,0.5,0.5,0.5
12,1,"train",0.9921875,0.12754397094249725,0.9734848737716675,1.0,0.9845238327980042
12,1,"test",1.0,0.12022701650857925,1.0,1.0,1.0
12,2,"train",1.0,0.015057935379445553,1.0,1.0,1.0
12,2,"test",1.0,0.016264447942376137,1.0,1.0,1.0
12,3,"train",1.0,0.00036687488318420947,1.0,1.0,1.0
12,3,"test",1.0,0.00038454157765954733,1.0,1.0,1.0
12,4,"train",1.0,0.0003271863970439881,1.0,1.0,1.0
12,4,"test",1.0,0.00031800506985746324,1.0,1.0,1.0
12,5,"train",1.0,0.00010708718036767095,1.0,1.0,1.0
12,5,"test",1.0,0.00010943807137664407,1.0,1.0,1.0
