cr,n,trainortest,accuracy,loss,precision,recall,f1
3,0,"train",0.5,0.6958227157592773,0.0,0.0,0.0
3,0,"test",0.5,0.6974976062774658,0.5,0.5,0.5
3,1,"train",1.0,0.5279929637908936,1.0,1.0,1.0
3,1,"test",1.0,0.5219765305519104,1.0,1.0,1.0
3,2,"train",1.0,0.1988174468278885,1.0,1.0,1.0
3,2,"test",1.0,0.20629343390464783,1.0,1.0,1.0
3,3,"train",1.0,0.035307399928569794,1.0,1.0,1.0
3,3,"test",1.0,0.03595597669482231,1.0,1.0,1.0
3,4,"train",1.0,0.01686822436749935,1.0,1.0,1.0
3,4,"test",1.0,0.016413070261478424,1.0,1.0,1.0
3,5,"train",1.0,0.008322758600115776,1.0,1.0,1.0
3,5,"test",1.0,0.00807977095246315,1.0,1.0,1.0
6,0,"train",0.5,0.6960256695747375,0.0,0.0,0.0
6,0,"test",0.5,0.696832001209259,0.5,0.5,0.5
6,1,"train",0.51171875,0.6476743221282959,0.1875,0.02559524029493332,0.04484577849507332
6,1,"test",0.5,0.6396927237510681,0.5,0.5,0.5
6,2,"train",0.984375,0.5559185743331909,0.9713541865348816,1.0,0.9843443632125854
6,2,"test",0.953125,0.551590621471405,0.5,0.5,0.5
6,3,"train",0.5,0.882958710193634,0.5,1.0,0.6558389663696289
6,3,"test",0.5,0.8805161118507385,0.5,0.5,0.5
6,4,"train",0.54296875,0.4722119867801666,0.5251802802085876,1.0,0.6763353943824768
6,4,"test",0.640625,0.4204597473144531,0.5,0.5,0.5
6,5,"train",0.7109375,0.38600316643714905,0.6323460936546326,1.0,0.7652957439422607
6,5,"test",0.703125,0.4058851897716522,0.5,0.5,0.5
9,0,"train",0.5,0.6954458355903625,0.0,0.0,0.0
9,0,"test",0.5,0.6943709850311279,0.5,0.5,0.5
9,1,"train",0.5,0.6943660974502563,0.0,0.0,0.0
9,1,"test",0.5,0.6943755745887756,0.5,0.5,0.5
9,2,"train",0.53515625,0.6555806994438171,0.5,0.06746257096529007,0.11810967326164246
9,2,"test",0.578125,0.6523171067237854,1.0,0.578125,0.6345029473304749
9,3,"train",0.99609375,0.5633756518363953,0.9895833134651184,1.0,0.9943181872367859
9,3,"test",1.0,0.5662660598754883,1.0,1.0,1.0
9,4,"train",0.5,0.5817072987556458,0.5,1.0,0.6558389663696289
9,4,"test",0.5,0.5915408730506897,0.5,0.5,0.5
9,5,"train",0.5,0.5671171545982361,0.5,1.0,0.6558389663696289
9,5,"test",0.5,0.5660680532455444,0.5,0.5,0.5
12,0,"train",0.5,0.6940855383872986,0.0,0.0,0.0
12,0,"test",0.5,0.6958445310592651,0.5,0.5,0.5
12,1,"train",0.5,0.5999840497970581,0.5,1.0,0.6558389663696289
12,1,"test",0.5,0.6028699278831482,0.5,0.5,0.5
12,2,"train",0.5,0.9082805514335632,0.5,1.0,0.6558389663696289
12,2,"test",0.5,0.9268114566802979,0.5,0.5,0.5
12,3,"train",1.0,0.026975614950060844,1.0,1.0,1.0
12,3,"test",1.0,0.027605729177594185,1.0,1.0,1.0
12,4,"train",1.0,0.0162219125777483,1.0,1.0,1.0
12,4,"test",1.0,0.01617663912475109,1.0,1.0,1.0
12,5,"train",1.0,0.006757257506251335,1.0,1.0,1.0
12,5,"test",1.0,0.006866418290883303,1.0,1.0,1.0
