cr,n,trainortest,accuracy,loss,precision,recall,f1
3,0,"train",0.5,0.7331761121749878,0.5,1.0,0.6558389663696289
3,0,"test",0.5,0.7335067987442017,0.5,0.5,0.5
3,1,"train",0.5,0.76059490442276,0.5,1.0,0.6558389663696289
3,1,"test",0.5,0.7630901336669922,0.5,0.5,0.5
3,2,"train",0.5,0.7316722869873047,0.5,1.0,0.6558389663696289
3,2,"test",0.5,0.7313598990440369,0.5,0.5,0.5
3,3,"train",0.5,0.7061270475387573,0.5,1.0,0.6558389663696289
3,3,"test",0.5,0.7066959738731384,0.5,0.5,0.5
3,4,"train",0.72265625,0.5959828495979309,0.6527056097984314,0.8923115134239197,0.7465064525604248
3,4,"test",0.796875,0.5883970856666565,0.5,0.421875,0.4574712812900543
3,5,"train",0.79296875,0.46957314014434814,0.7070943117141724,0.9910714626312256,0.8163653016090393
3,5,"test",0.78125,0.49627625942230225,0.5,0.5,0.5
6,0,"train",0.5,0.7183107137680054,0.5,1.0,0.6558389663696289
6,0,"test",0.5,0.7198829054832458,0.5,0.5,0.5
6,1,"train",0.5,0.7592945694923401,0.5,1.0,0.6558389663696289
6,1,"test",0.5,0.7602012753486633,0.5,0.5,0.5
6,2,"train",0.5,0.7386863827705383,0.5,1.0,0.6558389663696289
6,2,"test",0.5,0.7424390912055969,0.5,0.5,0.5
6,3,"train",0.50390625,0.7042012810707092,0.5018228888511658,1.0,0.6575682163238525
6,3,"test",0.5,0.707946240901947,0.5,0.5,0.5
6,4,"train",0.56640625,0.6826744079589844,0.5342690944671631,1.0,0.686282217502594
6,4,"test",0.546875,0.6709166169166565,0.5,0.5,0.5
6,5,"train",0.76953125,0.5379258394241333,0.6831172108650208,1.0,0.8032898306846619
6,5,"test",0.765625,0.5572115778923035,0.5,0.5,0.5
9,0,"train",0.5,0.7382318377494812,0.5,1.0,0.6558389663696289
9,0,"test",0.5,0.7381112575531006,0.5,0.5,0.5
9,1,"train",0.5,0.7569287419319153,0.5,1.0,0.6558389663696289
9,1,"test",0.5,0.756626546382904,0.5,0.5,0.5
9,2,"train",0.5,0.7400342226028442,0.5,1.0,0.6558389663696289
9,2,"test",0.5,0.7411202192306519,0.5,0.5,0.5
9,3,"train",0.5,0.7207590937614441,0.5,1.0,0.6558389663696289
9,3,"test",0.5,0.7318012714385986,0.5,0.5,0.5
9,4,"train",0.53125,0.6907803416252136,0.5156621932983398,1.0,0.6699314713478088
9,4,"test",0.578125,0.6538008451461792,0.5,0.5,0.5
9,5,"train",0.63671875,0.6423969268798828,0.5830518007278442,1.0,0.7237039804458618
9,5,"test",0.703125,0.6062440276145935,0.5,0.5,0.5
12,0,"train",0.5,0.7271998524665833,0.5,1.0,0.6558389663696289
12,0,"test",0.5,0.7265849709510803,0.5,0.5,0.5
12,1,"train",0.5,0.7602371573448181,0.5,1.0,0.6558389663696289
12,1,"test",0.5,0.7584212422370911,0.5,0.5,0.5
12,2,"train",0.5,0.7428393959999084,0.5,1.0,0.6558389663696289
12,2,"test",0.5,0.7424891591072083,0.5,0.5,0.5
12,3,"train",0.5,0.731682538986206,0.5,1.0,0.6558389663696289
12,3,"test",0.5,0.7326382994651794,0.5,0.5,0.5
12,4,"train",0.5,0.7096899747848511,0.5,1.0,0.6558389663696289
12,4,"test",0.515625,0.7109769582748413,0.5,0.5,0.5
12,5,"train",0.5703125,0.6729618906974792,0.535937488079071,1.0,0.6886470913887024
12,5,"test",0.515625,0.6970372796058655,0.5,0.5,0.5
