cr,n,trainortest,accuracy,loss,precision,recall,f1
3,0,"train",0.5,0.6960508823394775,0.0,0.0,0.0
3,0,"test",0.5,0.6961782574653625,0.5,0.5,0.5
3,1,"train",0.5,0.5812851190567017,0.5,1.0,0.6558389663696289
3,1,"test",0.5,0.5748811364173889,0.5,0.5,0.5
3,2,"train",1.0,0.14921578764915466,1.0,1.0,1.0
3,2,"test",1.0,0.15005448460578918,1.0,1.0,1.0
3,3,"train",1.0,0.028513910248875618,1.0,1.0,1.0
3,3,"test",1.0,0.026339663192629814,1.0,1.0,1.0
3,4,"train",1.0,0.012574631720781326,1.0,1.0,1.0
3,4,"test",1.0,0.011950424872338772,1.0,1.0,1.0
3,5,"train",1.0,0.006290029268711805,1.0,1.0,1.0
3,5,"test",1.0,0.006379320286214352,1.0,1.0,1.0
6,0,"train",0.5,0.6935225129127502,0.0,0.0,0.0
6,0,"test",0.5,0.6957757472991943,0.5,0.5,0.5
6,1,"train",0.99609375,0.514935314655304,0.9910714626312256,1.0,0.9951923489570618
6,1,"test",1.0,0.5203992128372192,1.0,1.0,1.0
6,2,"train",0.99609375,0.21243612468242645,0.9895833134651184,1.0,0.9943181872367859
6,2,"test",1.0,0.22601598501205444,1.0,1.0,1.0
6,3,"train",1.0,0.03296365961432457,1.0,1.0,1.0
6,3,"test",1.0,0.032594066113233566,1.0,1.0,1.0
6,4,"train",1.0,0.014490678906440735,1.0,1.0,1.0
6,4,"test",1.0,0.013940876349806786,1.0,1.0,1.0
6,5,"train",1.0,0.008472384884953499,1.0,1.0,1.0
6,5,"test",1.0,0.008104709908366203,1.0,1.0,1.0
9,0,"train",0.5,0.6946589350700378,0.0,0.0,0.0
9,0,"test",0.5,0.6941279172897339,0.5,0.5,0.5
9,1,"train",0.984375,0.5340803861618042,0.965029776096344,1.0,0.9811772108078003
9,1,"test",0.984375,0.5361117124557495,0.75,0.75,0.75
9,2,"train",0.9375,0.3019923269748688,0.8824630975723267,1.0,0.93448805809021
9,2,"test",0.921875,0.3093198239803314,0.5,0.5,0.5
9,3,"train",1.0,0.03971853479743004,1.0,1.0,1.0
9,3,"test",1.0,0.041403599083423615,1.0,1.0,1.0
9,4,"train",1.0,0.01749861054122448,1.0,1.0,1.0
9,4,"test",1.0,0.017372189089655876,1.0,1.0,1.0
9,5,"train",1.0,0.008415015414357185,1.0,1.0,1.0
9,5,"test",1.0,0.008715795353055,1.0,1.0,1.0
12,0,"train",0.5,0.6941134929656982,0.0,0.0,0.0
12,0,"test",0.5,0.691638708114624,0.5,0.5,0.5
12,1,"train",1.0,0.5554755926132202,1.0,1.0,1.0
12,1,"test",0.984375,0.5538203120231628,0.75,0.75,0.75
12,2,"train",0.9921875,0.2741452157497406,0.9841269850730896,1.0,0.9915158748626709
12,2,"test",1.0,0.2764345705509186,1.0,1.0,1.0
12,3,"train",0.5,1.5012601613998413,0.5,1.0,0.6558389663696289
12,3,"test",0.5,1.4869319200515747,0.5,0.5,0.5
12,4,"train",1.0,0.02037951536476612,1.0,1.0,1.0
12,4,"test",1.0,0.020111488178372383,1.0,1.0,1.0
12,5,"train",1.0,0.011239621788263321,1.0,1.0,1.0
12,5,"test",1.0,0.011057029478251934,1.0,1.0,1.0
